smiles,redox
C1=CC(=O)C=CC1=O,2.1099265
C1(Br)=CC(=O)C=CC1=O,1.2198467
C1(Cl)=CC(=O)C=CC1=O,1.599726
C1(O)=CC(=O)C=CC1=O,1.8281059
C1(C)=CC(=O)C=CC1=O,1.8425578
C1(C(C)(C)(C))=CC(=O)C=CC1=O,1.3680182
ClC1=C(C(C)(C)(C))C(=O)C=CC1=O,1.1412162
BrC1=C(C(C)(C)(C))C(=O)C=CC1=O,0.93205255
OC1=C(C(C)(C)(C))C(=O)C=CC1=O,1.1939117
NC1=C(C(C)(C)(C))C(=O)C=CC1=O,1.198719
CC1=C(C(C)(C)(C))C(=O)C=CC1=O,1.2278928
ClC1=C(C(C)(C)(C))C(=O)C=C(Cl)C1=O,0.9713376
BrC1=C(C(C)(C)(C))C(=O)C=C(Br)C1=O,0.6961006
OC1=C(C(C)(C)(C))C(=O)C=C(O)C1=O,1.0706662
NC1=C(C(C)(C)(C))C(=O)C=C(N)C1=O,1.062642
CC1=C(C(C)(C)(C))C(=O)C=C(C)C1=O,1.1260605
ClC1=C(C(C)(C)(C))C(=O)C=C(Br)C1=O,0.81619817
BrC1=C(C(C)(C)(C))C(=O)C=C(O)C1=O,0.8497721
OC1=C(C(C)(C)(C))C(=O)C=C(N)C1=O,1.0590171
NC1=C(C(C)(C)(C))C(=O)C=C(C)C1=O,1.0743173
CC1=C(C(C)(C)(C))C(=O)C=C(Cl)C1=O,1.0455159
ClC1=C(C(C)(C)(C))C(=O)C=C(C)C1=O,1.0517122
BrC1=C(C(C)(C)(C))C(=O)C=C(Cl)C1=O,0.8070616
OC1=C(C(C)(C)(C))C(=O)C=C(Br)C1=O,0.84511334
NC1=C(C(C)(C)(C))C(=O)C=C(O)C1=O,1.0446805
CC1=C(C(C)(C)(C))C(=O)C=C(N)C1=O,1.0798135
ClC1=C(C(C)(C)(C))C(=O)C(C)=C(C)C1=O,0.9465556
BrC1=C(C(C)(C)(C))C(=O)C(C)=C(Cl)C1=O,0.76092
OC1=C(C(C)(C)(C))C(=O)C(C)=C(Br)C1=O,0.7894524
NC1=C(C(C)(C)(C))C(=O)C(C)=C(O)C1=O,0.9413388
CC1=C(C(C)(C)(C))C(=O)C(C)=C(N)C1=O,0.9954354
ClC1=C(C(C)(C)(C))C(=O)C(Cl)=C(C)C1=O,0.8943065
BrC1=C(C(C)(C)(C))C(=O)C(Cl)=C(Cl)C1=O,0.7229484
OC1=C(C(C)(C)(C))C(=O)C(Cl)=C(Br)C1=O,0.7367244
NC1=C(C(C)(C)(C))C(=O)C(Cl)=C(O)C1=O,0.92407906
CC1=C(C(C)(C)(C))C(=O)C(Cl)=C(N)C1=O,0.92492855
ClC1=C(C(C)(C)(C))C(=O)C(Br)=C(C)C1=O,0.7795982
BrC1=C(C(C)(C)(C))C(=O)C(Br)=C(Cl)C1=O,0.6419755
OC1=C(C(C)(C)(C))C(=O)C(Br)=C(Br)C1=O,0.66025186
NC1=C(C(C)(C)(C))C(=O)C(Br)=C(O)C1=O,0.761929
CC1=C(C(C)(C)(C))C(=O)C(Br)=C(N)C1=O,0.7795439
ClC1=C(C(C)(C)(C))C(=O)C(N)=C(C)C1=O,0.9513746
BrC1=C(C(C)(C)(C))C(=O)C(N)=C(Cl)C1=O,0.7426061
OC1=C(C(C)(C)(C))C(=O)C(N)=C(Br)C1=O,0.74644613
NC1=C(C(C)(C)(C))C(=O)C(N)=C(O)C1=O,0.91658884
CC1=C(C(C)(C)(C))C(=O)C(N)=C(N)C1=O,0.9924235
ClC1=C(C(C)(C)(C))C(=O)C(O)=C(C)C1=O,0.9645404
BrC1=C(C(C)(C)(C))C(=O)C(O)=C(Cl)C1=O,0.7427895
OC1=C(C(C)(C)(C))C(=O)C(O)=C(Br)C1=O,0.7573977
NC1=C(C(C)(C)(C))C(=O)C(O)=C(O)C1=O,0.93961
CC1=C(C(C)(C)(C))C(=O)C(O)=C(N)C1=O,1.0403746
ClC1=C(Br)C(=O)C(Cl)=C(Cl)C1=O,0.8023946
BrC1=C(Br)C(=O)C(Cl)=C(Cl)C1=O,0.698951
BrC1=CC(=O)C=C(Br)C1=O,0.8736998
BrC1=CC(=O)C(Br)=CC1=O,0.88924795
OC1=C(Br)C(=O)C(O)=C(Br)C1=O,0.73907644
ClC1=C(N)C(=O)C(Cl)=C(N)C1=O,0.9809452
NC1=C(N)C(=O)C(Cl)=C(Cl)C1=O,1.0265045
NC1=CC(=O)C=C(Br)C1=O,1.1022025
NC1=CC(=O)C(Br)=CC1=O,1.0951452
OC1=C(N)C(=O)C(O)=C(Br)C1=O,0.88321424
BrC1=CC(=O)C=C(Cl)C1=O,1.0446671
BrC1=CC(=O)C(Cl)=CC1=O,1.0470226
OC1=C(Br)C(=O)C(O)=C(Cl)C1=O,0.8302813
ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,0.9431724
BrC1=CC(=O)C(Br)=C(Br)C1=O,0.6832811
ClC1=C(C)C(=O)C(Cl)=C(Cl)C1=O,1.001793
BrC1=C(C)C(=O)C(Cl)=C(Cl)C1=O,0.83955646
CC1=CC(=O)C=C(Br)C1=O,1.1197308
CC1=CC(=O)C(Br)=CC1=O,1.120923
OC1=C(C)C(=O)C(O)=C(Br)C1=O,0.91468585
C1(C)=C(Br)C(=O)C(C)=C(Cl)C1=O,0.92409587
C1(C)=C(Br)C(=O)C(C)=C(Cl)C1=O,0.92409587
C1(C)=CC(=O)C=C(C)C1=O,1.6331114
C1(C)=CC(=O)C(C)=CC1=O,1.6359793
OC1=C(Br)C(=O)C(O)=C(C)C1=O,0.91468585
OC1=C(O)C(=O)C(Cl)=C(Cl)C1=O,1.0188562
